Page / Section	English Content	Arabic Translation
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	1.1 Personal Information	1.1 المعلومات الشخصية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	When you create an account, make a booking, or otherwise interact with our Services, we may collect:	عند إنشاء حساب أو إجراء حجز أو التفاعل مع خدماتنا، قد نجمع:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Full name	الاسم الكامل
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Email address	عنوان البريد الإلكتروني
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Phone number	رقم الهاتف
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Residential or business address	العنوان السكني أو التجاري
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Account login and profile information	بيانات تسجيل الدخول وملف الحساب
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Date of birth or other identification information where required for service verification	تاريخ الميلاد أو معلومات التحقق من الهوية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Communication preferences	تفضيلات التواصل
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Information provided when contacting customer support	المعلومات المقدمة عند التواصل مع خدمة العملاء
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	1.2 Booking and Transportation Information	1.2 معلومات الحجز والنقل
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	To provide our chauffeur and transportation services, we may collect information associated with your bookings, including:	لتقديم خدمات النقل، قد نجمع:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Pickup and drop-off locations	مواقع الاستلام والتسليم
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Pickup and drop-off times	أوقات الاستلام والتسليم
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Travel dates	تواريخ السفر
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Booking history	سجل الحجوزات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Passenger information	معلومات الركاب
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Number of passengers	عدد الركاب
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Special transportation requests	طلبات النقل الخاصة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Chauffeur or vehicle preferences	تفضيلات السائق أو المركبة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Flight information when provided for airport transfers	معلومات الرحلة الجوية عند الطلب
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Additional instructions provided during the booking process	تعليمات إضافية أثناء الحجز
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Information relating to ride cancellations, modifications, or disputes	معلومات الإلغاء أو التعديل أو النزاعات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	1.3 Location Information	1.3 معلومات الموقع الجغرافي
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Because White Line provides chauffeur and ride-hailing services, location information is an important part of our Services. Depending on the features you use and the permissions you provide, we may collect precise location information, including:	نظراً لطبيعة خدمات التوصيل، تُعدّ معلومات الموقع جزءاً أساسياً من خدماتنا. قد نجمع:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Pickup location	موقع الاستلام
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Drop-off location	موقع التسليم
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Current or approximate device location	الموقع التقريبي للجهاز
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Vehicle location while a ride is in progress	موقع المركبة أثناء الرحلة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Route and trip information	معلومات المسار والرحلة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Location information associated with booking and dispatch activities	معلومات الموقع المرتبطة بالحجز والإرسال
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Location information may be used to match passengers with available chauffeurs, facilitate pickups and drop-offs, monitor active trips, improve routing, provide customer support, and enhance the safety and reliability of our Services. You may be able to control certain location permissions through your device settings. However, disabling location services may affect your ability to use certain features of our Services.	قد تُستخدم معلومات الموقع لمطابقة الركاب مع السائقين وتحسين التوجيه وتعزيز سلامة الخدمة. يمكنك التحكم في أذونات الموقع عبر إعدادات جهازك.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	1.4 Payment and Billing Information	1.4 معلومات الدفع والفواتير
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	When you make a payment for our Services, we may collect information necessary to process and manage your transaction, such as:	عند إجراء الدفع، قد نجمع:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Billing name	اسم الفاتورة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Billing address	عنوان الفاتورة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Payment method	طريقة الدفع
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Transaction amount	مبلغ المعاملة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Transaction date and time	تاريخ ووقت المعاملة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Payment status	حالة الدفع
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Invoice and receipt information	الفواتير والإيصالات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Credit and debit card information may be processed through third-party payment processors and certified payment gateways. White Line does not store complete payment card information on its own systems where such information can be securely processed by our authorized payment providers.	قد تُعالج معلومات البطاقة عبر مزودي دفع خارجيين معتمدين. لا تخزّن وايت لاين بيانات البطاقة الكاملة على أنظمتها الخاصة.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	1.5 Corporate and B2B Information	1.5 معلومات الشركات وB2B
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	If you use our corporate transportation services or B2B portal, we may collect additional business-related information, including:	إذا كنت تستخدم خدماتنا المؤسسية، قد نجمع:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Company name	اسم الشركة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Business address	عنوان العمل
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Corporate account information	معلومات الحساب المؤسسي
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Authorized personal details	بيانات الشخص المفوض
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Employee or passenger information	معلومات الموظفين أو الركاب
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Business email addresses	عناوين البريد الإلكتروني التجارية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Billing and invoicing information	معلومات الفواتير
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Corporate travel preferences	تفضيلات السفر المؤسسي
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Booking and transportation history	سجل الحجوزات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Account administrators and authorized users	المسؤولون والمستخدمون المعتمدون
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Corporate customers are responsible for ensuring that they have the appropriate authority and permissions to provide personal information to White Line on behalf of their employees, customers, or other authorized passengers.	يتحمل العملاء المؤسسيون مسؤولية الحصول على الصلاحيات اللازمة لمشاركة بيانات موظفيهم مع وايت لاين.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	1.6 Communications and Support Information	1.6 معلومات التواصل والدعم
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	When you contact White Line, we may collect information contained in your communications, including:	عند تواصلك مع وايت لاين، قد نجمع:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Emails	الرسائل الإلكترونية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Customer support requests	طلبات الدعم
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Chat messages	رسائل الدردشة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Phone or other communications	المكالمات الهاتفية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Feedback	الملاحظات والشكاوى
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Complaints	الاستفسارات المتعلقة بالخدمة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Service-related inquiries	المعلومات التي تقدمها طوعاً لفريق الدعم
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Information you voluntarily provide to our support team	[MISSING ARABIC TRANSLATION]
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	We use this information to respond to your requests, investigate issues, improve our Services, and maintain appropriate records of customer interactions.	نستخدم هذه المعلومات للرد على طلباتك والتحقيق في المشكلات وتحسين الخدمات.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	1.7 Device and Technical Information	1.7 معلومات الجهاز والتقنية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	When you access our website or applications, certain technical information may be collected automatically, including:	عند استخدام الموقع أو التطبيق، قد يُجمع تلقائياً:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	IP address	عنوان IP
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Browser type and version	نوع وإصدار المتصفح
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Operating system	نظام التشغيل
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Device type	نوع الجهاز
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Device identifiers	معرّفات الجهاز
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Language preferences	تفضيلات اللغة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Time zone	المنطقة الزمنية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Access dates and times	تواريخ وأوقات الوصول
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Referring and exit pages	الصفحات المرجعية وصفحات الخروج
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Application usage information	معلومات استخدام التطبيق
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Diagnostic and performance information	معلومات التشخيص والأداء
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	This information helps us operate and improve our servers, troubleshoot, and enhance the overall performance and security of our Services.	تساعدنا هذه المعلومات في تشغيل خوادمنا وتحسين أداء وأمن خدماتنا.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	2. How We Use Your Information	2. كيف نستخدم معلوماتك
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	We use the information we collect to provide, maintain, and improve our Services, and to fulfill our obligations to you. Specifically, we may use your information to:	نستخدم المعلومات التي نجمعها لتقديم خدماتنا وصيانتها وتحسينها، بما يشمل:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Process and manage your bookings and reservations	معالجة وإدارة الحجوزات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Dispatch and coordinate chauffeur services	إرسال وتنسيق خدمات السائق
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Facilitate real-time trip tracking and navigation	تتبع الرحلات في الوقت الفعلي
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Process payments and send invoices or receipts	معالجة المدفوعات وإرسال الإيصالات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Communicate with you about your bookings, account, or inquiries	التواصل بشأن الحجوزات والحساب
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Send service-related notifications and updates	إرسال إشعارات الخدمة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Provide customer support and resolve disputes	تقديم دعم العملاء وحل النزاعات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Verify your identity and maintain account security	التحقق من الهوية وأمان الحساب
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Comply with applicable laws and regulatory requirements	الامتثال للمتطلبات القانونية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Detect, investigate, and prevent fraud or unauthorized activity	الكشف عن الاحتيال ومنعه
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Improve the functionality, safety, and quality of our Services	تحسين وظائف الخدمات وجودتها
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Conduct internal analytics, research, and service development	إجراء التحليلات الداخلية وتطوير الخدمات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Personalize your experience based on your preferences and usage history	تخصيص تجربتك وفق تفضيلاتك
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Manage our corporate and B2B client relationships	إدارة العلاقات مع العملاء المؤسسيين
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	3. Sharing of Information	3. مشاركة المعلومات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	We do not sell your personal information. We may share your information in the following limited circumstances:	لا نبيع معلوماتك الشخصية. قد نشارك معلوماتك في الحالات المحدودة التالية:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	3.1 With Chauffeurs and Service Partners	3.1 مع السائقين وشركاء الخدمة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	We share relevant booking and contact information with the chauffeur assigned to your trip to facilitate pickup, navigation, and service delivery.	نشارك معلومات الحجز والتواصل الضرورية مع السائق المعين لرحلتك لتسهيل الاستلام والتوصيل.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	3.2 With Third-Party Service Providers	3.2 مع مزودي الخدمات الخارجيين
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	We engage trusted third-party vendors to assist in operating our platform, including payment processors, cloud infrastructure providers, communication platforms, mapping and navigation services, and customer support tools. These providers are contractually obligated to protect your information and use it only for the purposes we specify.	نتعاون مع جهات خارجية موثوقة لتشغيل منصتنا، بما يشمل معالجة المدفوعات والبنية التحتية السحابية وخدمات التواصل والخرائط. هذه الجهات ملزمة تعاقدياً بحماية معلوماتك.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	3.3 With Corporate Account Administrators	3.3 مع مسؤولي الحسابات المؤسسية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	If your account is linked to a corporate or B2B account, the authorized administrator of that account may have access to your booking history, travel activity, and related billing information.	إذا كان حسابك مرتبطاً بحساب مؤسسي، يحق للمسؤول المعتمد الاطلاع على سجل حجوزاتك ونشاط سفرك وبيانات الفواتير.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	3.4 For Legal Compliance and Safety	3.4 للامتثال القانوني والسلامة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	We may disclose your information when required by law, court order, or governmental authority, or when we believe disclosure is necessary to protect the rights, property, or safety of White Line, our users, chauffeurs, or the public.	قد نكشف عن معلوماتك عند الاقتضاء القانوني أو لحماية حقوق وسلامة وايت لاين ومستخدميها وسائقيها والعامة.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	3.5 Business Transfers	3.5 عمليات نقل الأعمال
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	In the event of a merger, acquisition, restructuring, or sale of assets, your information may be transferred as part of the transaction. We will notify you of any such change and ensure continued protection of your information.	في حالة الاندماج أو الاستحواذ أو بيع الأصول، قد تُنقل معلوماتك كجزء من الصفقة مع ضمان استمرار حمايتها.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	4. Data Retention	4. الاحتفاظ بالبيانات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	We retain your personal information for as long as necessary to provide our Services, comply with legal obligations, resolve disputes, and enforce our agreements. When your information is no longer required, we will securely delete or anonymize it in accordance with our data retention policies.	نحتفظ بمعلوماتك الشخصية طالما كان ذلك ضرورياً لتقديم خدماتنا والامتثال للالتزامات القانونية وحل النزاعات وإنفاذ اتفاقياتنا. عند انتهاء الحاجة إليها، نقوم بحذفها أو إخفاء هويتها بأمان.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	5. Data Security	5. أمان البيانات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	We implement industry-standard technical and organizational measures to protect your personal information against unauthorized access, alteration, disclosure, or destruction. These measures include encryption of data in transit and at rest, access controls, and regular security assessments. While we take reasonable precautions, no method of transmission over the internet or electronic storage is completely secure.	نطبّق تدابير تقنية وتنظيمية وفق أفضل المعايير الصناعية لحماية معلوماتك من الوصول غير المصرح به أو التغيير أو الإفصاح أو التدمير، بما يشمل تشفير البيانات أثناء النقل وفي وضع الراحة وضوابط الوصول وتقييمات الأمان الدورية.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	6. Your Rights and Choices	6. حقوقك وخياراتك
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Depending on your jurisdiction, you may have the following rights with respect to your personal information:	وفقاً لولايتك القضائية، قد تتمتع بالحقوق التالية:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	The right to access and receive a copy of the information we hold about you	الحق في الوصول إلى نسخة من معلوماتك
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	The right to correct or update inaccurate or incomplete information	الحق في تصحيح المعلومات غير الدقيقة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	The right to request deletion of your personal information, subject to applicable legal requirements	الحق في طلب حذف بياناتك وفق المتطلبات القانونية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	The right to withdraw consent where processing is based on your consent	الحق في سحب موافقتك
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	The right to restrict or object to certain processing activities	الحق في تقييد المعالجة أو الاعتراض عليها
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	The right to data portability	الحق في نقل البيانات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	The right to lodge a complaint with a relevant data protection authority	الحق في تقديم شكوى إلى هيئة حماية البيانات
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	To exercise any of these rights, please contact us using the details provided in Section 9. We will respond to your request in accordance with applicable data protection laws.	للممارسة أي من هذه الحقوق، يرجى التواصل معنا عبر التفاصيل الواردة في القسم التاسع.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	7. Cookies and Tracking Technologies	7. ملفات تعريف الارتباط وتقنيات التتبع
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Our website and applications may use cookies, web beacons, and similar tracking technologies to enhance functionality, analyze usage patterns, and personalize your experience. You may manage your cookie preferences through your browser settings or our cookie consent tool. Disabling certain cookies may limit some features of our Services.	قد يستخدم موقعنا وتطبيقاتنا ملفات تعريف الارتباط وإشارات الويب وتقنيات التتبع المماثلة لتعزيز الوظائف وتحليل أنماط الاستخدام وتخصيص تجربتك. يمكنك إدارة تفضيلات ملفات تعريف الارتباط من خلال إعدادات متصفحك.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	8. Children's Privacy	8. خصوصية الأطفال
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Our Services are not directed to individuals under the age of 18. We do not knowingly collect personal information from minors. If you believe we have inadvertently collected information from a minor, please contact us and we will promptly delete such information.	خدماتنا غير موجهة للأفراد دون سن 18 عاماً. إذا اعتقدت أننا جمعنا معلومات من قاصر عن غير قصد، يرجى التواصل معنا وسنحذف هذه المعلومات فوراً.
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	9. Contact Us	9. تواصل معنا
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	If you have any questions, concerns, or requests regarding this Privacy Policy or the handling of your personal information, please contact our Privacy Team at:	إذا كانت لديك أسئلة أو مخاوف أو طلبات تتعلق بسياسة الخصوصية أو التعامل مع معلوماتك الشخصية، يرجى التواصل مع فريق الخصوصية لدينا:
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	White Line Transportation	وايت لاين للنقل
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Email: privacy@whiteline.sa	البريد الإلكتروني: privacy@whiteline.sa
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Phone: +966 XX XXX XXXX	الهاتف: XXXX XXX XX 966+
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	Address: Riyadh, Kingdom of Saudi Arabia	العنوان: الرياض، المملكة العربية السعودية
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	10. Updates to This Policy	10. تحديثات هذه السياسة
Privacy Policy Page — Policy Content (whiteline.markition.com/privacy)	We may update this Privacy Policy from time to time to reflect changes in our practices, legal requirements, or Service offerings. When we make material changes, we will notify you by updating the effective date at the top of this page and, where appropriate, providing additional notice through the application or email. Your continued use of our Services following such changes constitutes your acceptance of the updated policy.	قد نُحدّث سياسة الخصوصية هذه بشكل دوري لتعكس التغييرات في ممارساتنا أو المتطلبات القانونية أو عروض الخدمات. عند إجراء تغييرات جوهرية، سنُخطرك بتحديث تاريخ السريان وتقديم إشعار إضافي حسب الاقتضاء. استمرارك في استخدام خدماتنا بعد هذه التغييرات يُعدّ قبولاً للسياسة المحدّثة.
Terms & Conditions Page — Hero (whiteline.markition.com/terms)	Terms	الشروط
Terms & Conditions Page — Hero (whiteline.markition.com/terms)	& Conditions	والأحكام
Terms & Conditions Page — Hero (whiteline.markition.com/terms)	Welcome to White Lane. By accessing our platform, booking our executive transport services, or interacting with our digital applications, you agree to comply with and be bound by these Terms & Conditions. Please review them carefully before utilizing our services.	مرحباً بك في وايت لاين. بالوصول إلى منصتنا أو حجز خدمات النقل التنفيذية أو التفاعل مع تطبيقاتنا الرقمية، فإنك توافق على الالتزام بهذه الشروط والأحكام. يُرجى مراجعتها بعناية قبل استخدام خدماتنا.
Terms & Conditions Page — Effective Date (whiteline.markition.com/terms)	Effective Date: August 17, 2026	تاريخ السريان: 17 أغسطس 2026
Terms & Conditions Page — Introduction (whiteline.markition.com/terms)	These Terms & Conditions ("Terms") constitute a legally binding agreement between you ("User," "you," or "your") and White Line Transportation ("White Line," "we," "us," or "our"). By accessing or using any part of our platform, mobile applications, corporate portals, or requesting any of our chauffeur or transportation services, you acknowledge that you have read, understood, and agree to be bound by these Terms. If you do not agree, please discontinue use immediately.	تُشكّل هذه الشروط والأحكام ("الشروط") اتفاقية ملزمة قانوناً بينك ("المستخدم") وبين وايت لاين للنقل ("وايت لاين"). باستخدام أي جزء من منصتنا أو تطبيقاتنا أو طلب أي من خدمات النقل لدينا، فإنك تُقرّ بأنك قرأت هذه الشروط وفهمتها وتوافق على الالتزام بها.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	1. Acceptance of Terms	1. قبول الشروط
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	By creating an account, making a booking, or using any White Line service, you confirm that you are at least 18 years of age, have the legal capacity to enter into a binding agreement, and accept these Terms in full. If you are using our services on behalf of a company or organization, you represent that you have the authority to bind that entity to these Terms.	بإنشاء حساب أو إجراء حجز أو استخدام أي خدمة من خدمات وايت لاين، تُقرّ بأنك تجاوزت سن الثامنة عشرة، وتمتلك الأهلية القانونية لإبرام اتفاقية ملزمة، وتقبل هذه الشروط كاملة.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	2. Services Provided	2. الخدمات المقدمة
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	White Line offers premium chauffeur and executive transportation services, including but not limited to:	تقدم وايت لاين خدمات نقل راقية ومتنوعة تشمل:
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	One-Way Ride — Point-to-point urban transportation	رحلة أحادية — نقل مباشر من نقطة لأخرى
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Hourly Chauffeur — Dedicated driver service billed by the hour	سائق بالساعة — سائق خاص مخصص يُحتسب بالساعة
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	City-to-City — Intercity executive travel	بين المدن — سفر تنفيذي بين المدن
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Day Service — Full-day dedicated vehicle and driver	خدمة اليوم — مركبة وسائق مخصصان ليوم كامل
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Airport Transfer — Arrivals, departures, and flight-tracked pickups	نقل المطار — استقبال وتوصيل مع تتبع الرحلات
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	All services are subject to availability, pricing, and the specific terms communicated at the time of booking. White Line reserves the right to modify, suspend, or discontinue any service at any time without prior notice.	جميع الخدمات خاضعة للتوفر والتسعير والشروط المحددة عند الحجز. تحتفظ وايت لاين بحق تعديل أو تعليق أو إيقاف أي خدمة في أي وقت.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	3. Booking & Reservations	3. الحجز والاستئجار
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	3.1 Booking Process	3.1 عملية الحجز
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Bookings may be made through our mobile application, website, or by contacting our concierge team directly. A booking is confirmed only upon receipt of a written or in-app confirmation from White Line. We reserve the right to decline any booking request at our sole discretion.	يمكن إجراء الحجوزات عبر التطبيق أو الموقع الإلكتروني أو التواصل مع فريق الكونسيرج. يُعدّ الحجز مؤكداً فقط عند استلام تأكيد مكتوب أو داخل التطبيق من وايت لاين.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	3.2 Accuracy of Information	3.2 دقة المعلومات
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	You are responsible for providing accurate and complete information when making a booking, including pickup and drop-off locations, travel dates, passenger count, and any special requirements. White Line shall not be liable for service failures resulting from inaccurate information provided by the user.	أنت مسؤول عن تقديم معلومات دقيقة وكاملة عند الحجز، بما تشمل مواقع الاستلام والتسليم والتواريخ وعدد الركاب وأي متطلبات خاصة.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	3.3 Booking Modifications	3.3 تعديل الحجوزات
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Modifications to confirmed bookings must be requested through the app or by contacting support. Changes are subject to availability and may result in fare adjustments. White Line will communicate any pricing changes transparently before they are applied.	يجب طلب تعديلات الحجوزات المؤكدة عبر التطبيق أو بالتواصل مع الدعم. التعديلات خاضعة للتوفر وقد تستلزم تعديل الأسعار.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	4. Pricing & Payment	4. التسعير والدفع
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	4.1 Fares	4.1 الأسعار
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	All fares are quoted in the applicable local currency and are inclusive of applicable taxes unless otherwise stated. Quoted fares include standard route charges and, where specified, airport fees and tolls. Waiting time charges, route deviations, or additional stops may result in supplementary charges communicated to the user.	تُعرض جميع الأسعار بالعملة المحلية المعمول بها وتشمل الضرائب المنطبقة ما لم يُذكر خلاف ذلك. قد تنشأ رسوم إضافية عن أوقات الانتظار أو الانحراف عن المسار أو المحطات الإضافية.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	4.2 Payment Methods	4.2 طرق الدفع
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	White Line accepts payments through approved methods including credit and debit cards, digital wallets, and corporate invoicing for authorized accounts. Payment is due at the time of booking or as otherwise agreed for corporate accounts.	تقبل وايت لاين المدفوعات عبر بطاقات الائتمان والخصم والمحافظ الرقمية والفوترة المؤسسية للحسابات المعتمدة.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	4.3 Corporate & B2B Billing	4.3 فواتير الشركات وB2B
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Approved corporate clients may be issued monthly invoices in accordance with their account agreements. Corporate accounts are subject to credit limits and payment terms outlined in their individual service agreements.	يحق للعملاء المؤسسيين المعتمدين الحصول على فواتير شهرية وفق اتفاقيات حساباتهم وحدود الائتمان المحددة.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	5. Cancellation & Refund Policy	5. سياسة الإلغاء والاسترداد
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	5.1 User Cancellations	5.1 الإلغاء من قبل المستخدم
